LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1679956804.523521,321027,49390,1,HR,1,100,58
1679956805.203522,321707,49505,1,HR,1,100,62
1679956806.243522,322747,49673,1,HR,1,100,61
1679956807.242522,323746,49830,1,HR,1,100,61
1679956808.176522,324680,49980,1,HR,1,100,62
1679956809.016523,325520,50132,1,HR,1,100,63
1679956810.016523,326520,50298,1,HR,1,100,62
1679956811.429524,327933,50531,1,HR,1,100,60
1679956814.122524,330626,50975,1,HR,1,100,56
1679956814.722525,331226,51078,1,HR,1,100,61
1679956815.602525,332106,51213,1,HR,1,100,62
1679956816.455525,332959,51361,1,HR,1,100,63
1679956817.535526,334039,51537,1,HR,1,100,62
1679956818.495526,334999,51688,1,HR,1,100,62
1679956819.548526,336052,51854,1,HR,1,100,62
1679956820.308527,336812,51987,1,HR,1,100,64
1679956821.188527,337692,52140,1,HR,1,100,64
1679956823.761528,340265,52546,1,HR,1,100,59
1679956825.734528,342238,52863,1,HR,1,100,56
1679956827.667529,344171,53186,1,HR,1,100,53
1679956828.627529,345131,53336,1,HR,1,100,54
1679956829.667530,346171,53520,1,HR,1,100,55
1679956831.640530,348144,53835,1,HR,1,100,52
1679956832.480531,348984,53967,1,HR,1,100,54
1679956833.613531,350117,54160,1,HR,1,100,54
1679956834.653531,351157,54328,1,HR,1,100,54
1679956835.413531,351917,54460,1,HR,1,100,57
1679956837.186532,353690,54743,1,HR,1,100,55
1679956838.599532,355103,54986,1,HR,1,100,53
1679956842.452534,358956,55618,1,HR,1,100,49
1679956843.972534,360476,55859,1,HR,1,100,48
1679956850.612536,367116,56947,1,HR,1,100,43
1679956854.104537,370608,57517,1,HR,1,100,40
1679956854.664538,371168,57618,1,HR,1,100,48
1679956860.451540,376955,58550,1,HR,1,100,44
1679956861.544540,378048,58737,1,HR,1,100,45
1679956863.144540,379648,59001,1,HR,1,100,44
1679956864.597541,381101,59241,1,HR,1,100,44
1679956866.237541,382741,59506,1,HR,1,100,43
1679956868.170542,384674,59821,1,HR,1,100,42
1679956869.330542,385834,60011,1,HR,1,100,43
1679956870.503543,387007,60213,1,HR,1,100,44
1679956871.463543,387967,60362,1,HR,1,100,46
1679956872.516543,389020,60530,1,HR,1,100,47
1679956874.116544,390620,60802,1,HR,1,100,46
1679956875.276544,391780,60987,1,HR,1,100,47
1679956876.249545,392753,61153,1,HR,1,100,49
1679956876.969545,393473,61273,1,HR,1,100,53
1679956878.862545,395366,61579,1,HR,1,100,50
1679956881.195546,397699,61959,1,HR,1,100,47
1679956882.555547,399059,62178,1,HR,1,100,47
1679956883.515547,400019,62346,1,HR,1,100,49
1679956884.808547,401312,62550,1,HR,1,100,49
1679956886.168548,402672,62766,1,HR,1,100,48
1679956887.901548,404405,63053,1,HR,1,100,47
1679956890.194549,406698,63405,1,HR,1,100,44
1679956892.074550,408578,63723,1,HR,1,100,43
1679956893.207550,409711,63906,1,HR,1,100,44
1679956893.887550,410391,64008,1,HR,1,100,49
1679956895.020550,411524,64199,1,HR,1,100,50
1679956895.660551,412164,64300,1,HR,1,100,55
1679956897.540551,414044,64618,1,HR,1,100,52
